Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C,Load_kW,Solar_Power_kW,Wind_Power_kW,Net_Power_kW,Total_Generated_Power_kW,Battery_Energy_kWh,Battery_SoC_%,Unmet_Load_kWh,Dumped_Energy_kWh
2023-12-05 10:00:00,300.67,3.89,6.36,0.0,3.0067000000000004,0.2523788383375,3.2590788383375004,3.2590788383375004,9.732616438337502,48.66308219168751,0.0,0.0
2023-12-05 11:00:00,320.6,4.17,8.71,0.0,3.206,0.3108939694875,3.5168939694875,3.5168939694875,13.249510407825001,66.247552039125,0.0,0.0
2023-12-05 12:00:00,351.33,4.23,11.49,0.0,3.5132999999999996,0.32450787101250006,3.8378078710124996,3.8378078710124996,17.0873182788375,85.4365913941875,0.0,0.0
2023-12-05 13:00:00,326.98,3.55,12.84,0.0,3.2698,0.19181792656249996,3.4616179265625,3.4616179265625,20.0,100.0,0.0,0.5489362054000004
2023-12-05 14:00:00,228.35,2.6,13.29,0.0,2.2835,0.0753571,2.3588571000000003,2.3588571000000003,20.0,100.0,0.0,2.3588571000000016
2023-12-05 15:00:00,101.72,1.21,12.6,0.0,1.0172,0.007595567787499999,1.0247955677875,1.0247955677875,20.0,100.0,0.0,1.0247955677874998
2023-12-05 16:00:00,7.6,0.67,11.16,0.0,0.076,0.0012895213625000001,0.0772895213625,0.0772895213625,20.0,100.0,0.0,0.07728952136249845
2023-12-05 17:00:00,0.0,0.51,10.2,0.0,0.0,0.0005687411625000001,0.0005687411625000001,0.0005687411625000001,20.0,100.0,0.0,0.0005687411624997196
2023-12-05 18:00:00,0.0,0.43,9.41,5.0,0.0,0.0003408862624999999,-4.9996591137375,0.0003408862624999999,15.0003408862625,75.0017044313125,0.0,0.0
2023-12-05 19:00:00,0.0,0.46,8.62,5.0,0.0,0.0004173281,-4.9995826719,0.0004173281,10.000758214362499,50.0037910718125,0.0,0.0
2023-12-05 20:00:00,0.0,0.54,7.87,5.0,0.0,0.0006751269,-4.9993248731,0.0006751269,5.001433341262499,25.007166706312496,0.0,0.0
2023-12-05 21:00:00,0.0,0.6,7.18,0.0,0.0,0.0009260999999999998,0.0009260999999999998,0.0009260999999999998,5.002359441262499,25.01179720631249,0.0,0.0
2023-12-05 22:00:00,0.0,0.67,6.53,0.0,0.0,0.0012895213625000001,0.0012895213625000001,0.0012895213625000001,5.0036489626249985,25.01824481312499,0.0,0.0
2023-12-05 23:00:00,0.0,0.83,5.86,0.0,0.0,0.0024515367624999996,0.0024515367624999996,0.0024515367624999996,5.0061004993874985,25.03050249693749,0.0,0.0
2023-12-06 00:00:00,0.0,1.04,4.65,0.0,0.0,0.0048228544,0.0048228544,0.0048228544,5.010923353787499,25.054616768937493,0.0,0.0
2023-12-06 01:00:00,0.0,1.35,4.15,0.0,0.0,0.010548857812500001,0.010548857812500001,0.010548857812500001,5.021472211599999,25.107361057999995,0.0,0.0
2023-12-06 02:00:00,0.0,1.71,3.32,0.0,0.0,0.021438404662499994,0.021438404662499994,0.021438404662499994,5.042910616262499,25.214553081312495,0.0,0.0
2023-12-06 03:00:00,0.0,2.11,2.37,0.0,0.0,0.04027647916249999,0.04027647916249999,0.04027647916249999,5.083187095424999,25.415935477124997,0.0,0.0
2023-12-06 04:00:00,0.0,2.43,1.6,0.0,0.0,0.061520938762500005,0.061520938762500005,0.061520938762500005,5.1447080341875,25.723540170937497,0.0,0.0
2023-12-06 05:00:00,0.0,2.59,1.17,0.0,0.0,0.07449093496249999,0.07449093496249999,0.07449093496249999,5.21919896915,26.09599484575,0.0,0.0
2023-12-06 06:00:00,0.0,2.67,0.98,5.0,0.0,0.08160897386249999,-4.9183910261375,0.08160897386249999,4.0,20.0,3.6991920569875,0.0
