Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C,Load_kW,Solar_Power_kW,Wind_Power_kW,Net_Power_kW,Total_Generated_Power_kW,Battery_Energy_kWh,Battery_SoC_%,Unmet_Load_kWh,Dumped_Energy_kWh
2023-07-02 11:00:00,995.6,4.02,29.28,0.0,14.934,0.2785366142999999,15.2125366143,15.2125366143,40.0,100.0,0.0,15.2125366143
2023-07-02 12:00:00,982.97,4.01,30.33,0.0,14.74455,0.2764631492874999,15.0210131492875,15.0210131492875,40.0,100.0,0.0,15.021013149287498
2023-07-02 13:00:00,925.35,4.04,30.97,0.0,13.88025,0.2827145944,14.1629645944,14.1629645944,40.0,100.0,0.0,14.162964594400002
2023-07-02 14:00:00,818.1,4.07,31.13,0.0,12.2715,0.28905957561250006,12.5605595756125,12.5605595756125,40.0,100.0,0.0,12.560559575612501
2023-07-02 15:00:00,666.47,4.11,30.87,0.0,9.997050000000002,0.29766625166250005,10.294716251662502,10.294716251662502,40.0,100.0,0.0,10.2947162516625
2023-07-02 16:00:00,478.65,4.11,30.13,0.0,7.17975,0.29766625166250005,7.4774162516625005,7.4774162516625005,40.0,100.0,0.0,7.477416251662504
2023-07-02 17:00:00,282.77,3.67,28.76,0.0,4.241549999999999,0.21193482511249997,4.4534848251125,4.4534848251125,40.0,100.0,0.0,4.453484825112497
2023-07-02 18:00:00,102.4,2.58,25.67,5.0,1.536,0.0736314327,-3.3903685673,1.6096314327,36.6096314327,91.52407858175,0.0,0.0
2023-07-02 19:00:00,4.8,2.82,22.34,5.0,0.072,0.09615048029999998,-4.8318495197,0.16815048029999996,31.777781913,79.4444547825,0.0,0.0
2023-07-02 20:00:00,0.0,2.69,20.41,5.0,0.0,0.08345665483749998,-4.9165433451625,0.08345665483749998,26.861238567837496,67.15309641959374,0.0,0.0
2023-07-02 21:00:00,0.0,2.29,19.02,0.0,0.0,0.05148854033749999,0.05148854033749999,0.05148854033749999,26.912727108174995,67.28181777043748,0.0,0.0
2023-07-02 22:00:00,0.0,1.49,19.27,0.0,0.0,0.014182831337499998,0.014182831337499998,0.014182831337499998,26.926909939512495,67.31727484878124,0.0,0.0
2023-07-02 23:00:00,0.0,0.88,19.27,0.0,0.0,0.0029218111999999995,0.0029218111999999995,0.0029218111999999995,26.929831750712495,67.32457937678123,0.0,0.0
2023-07-03 00:00:00,0.0,1.34,18.83,0.0,0.0,0.010316170900000001,0.010316170900000001,0.010316170900000001,26.940147921612496,67.35036980403125,0.0,0.0
2023-07-03 01:00:00,0.0,1.95,17.82,0.0,0.0,0.0317912765625,0.0317912765625,0.0317912765625,26.971939198174997,67.4298479954375,0.0,0.0
2023-07-03 02:00:00,0.0,2.41,16.75,0.0,0.0,0.06001437128750001,0.06001437128750001,0.06001437128750001,27.031953569462498,67.57988392365625,0.0,0.0
2023-07-03 03:00:00,0.0,2.7,16.13,0.0,0.0,0.08439086250000001,0.08439086250000001,0.08439086250000001,27.1163444319625,67.79086107990625,0.0,0.0
2023-07-03 04:00:00,0.0,2.88,15.71,0.0,0.0,0.10241925119999998,0.10241925119999998,0.10241925119999998,27.2187636831625,68.04690920790625,0.0,0.0
